source,target,value
11001,11001,23701
11001,11002,846
11001,11003,3186
11001,11004,2167
11001,11005,408
11001,11006,1508
11001,11007,1250
11001,11008,282
11001,12001,22
11001,12002,51
11001,12003,32
11001,12004,1463
11001,12005,177
11001,13004,9
11001,13005,14
11001,13007,1492
11001,13008,145
11001,13009,26
11001,13010,47
11001,13011,45
11001,13012,1137
11001,13013,1111
11001,14001,183
11001,14003,97
11001,14004,45
11001,15002,145
11001,15006,5
11001,15007,272
11001,15008,11
11001,15009,9
11001,15014,70
11001,15015,9
11001,15016,69
11001,15017,46
11001,15018,3
11001,15019,74
11001,15020,11
11001,15021,66
11001,16003,32
11001,16004,23
11001,17001,3
11001,17002,60
11001,17005,6
11001,17006,85
11001,21002,11
11001,21004,47
11001,21005,11
11001,21007,14
11001,21008,89
11001,21009,57
11001,21010,12
11001,21011,39
11001,21012,11
11001,21014,19
11001,21017,59
11001,21018,4
11001,21019,6
11001,22001,15
11001,22002,8
11001,22003,51
11001,22004,4
11001,22005,3
11001,22009,9
11001,22013,3
11001,22015,4
11001,23002,20
11001,23003,33
11001,23006,63
11001,23010,8
11001,23013,11
11001,23015,59
11001,23016,217
11001,23017,51
11001,23018,9
11001,23021,3
11001,23023,67
11001,23025,8
11001,23026,38
11001,23028,5
11001,23032,24
11001,24003,7
11001,24004,11
11001,24008,10
11001,24017,19
11001,24018,132
11001,25001,8
11001,25017,59
11001,25021,11
11001,25022,64
11001,26002,2
11001,26005,30
11001,26008,9
11001,26012,7
11001,26015,36
11001,26017,420
11001,26018,8
11001,27011,155
11001,28001,31
11001,28011,27
11001,29001,114
11001,29010,2
11001,29021,79
11001,29028,56
11001,29030,12
11001,29031,58
11001,29032,168
11002,11001,2777
11002,11002,3098
11002,11003,225
11002,11004,457
11002,11005,320
11002,11006,888
11002,11007,411
11002,11008,170
11002,12003,8
11002,12004,121
11002,13007,19
11002,13013,179
11002,14001,16
11002,14003,10
11002,14004,20
11002,15010,64
11002,17001,2
11002,21011,11
11002,21012,6
11002,23016,61
11002,24018,24
11002,25012,22
11002,25022,69
11002,26017,32
11002,27006,9
11002,28002,11
11002,28004,4
11002,29032,14
11003,11001,6757
11003,11002,182
11003,11003,10177
11003,11004,2987
11003,11005,183
11003,11006,699
11003,11007,351
11003,11008,104
11003,12003,5
11003,12004,185
11003,12005,30
11003,13006,6
11003,13007,162
11003,13008,11
11003,13009,46
11003,13012,19
11003,13013,405
11003,14001,26
11003,14003,10
11003,14004,40
11003,15014,11
11003,15017,104
11003,15022,13
11003,16003,8
11003,17006,32
11003,21001,11
11003,23033,47
11003,24003,4
11003,24011,12
11003,25004,2
11003,25017,4
11003,26009,12
11003,26012,11
11003,26017,43
11003,29013,5
11003,29021,10
11003,29024,3
11003,29031,27
11003,29032,137
11004,11001,9913
11004,11002,631
11004,11003,6030
11004,11004,17997
11004,11005,1620
11004,11006,2330
11004,11007,1279
11004,11008,237
11004,12001,27
11004,12003,10
11004,12004,331
11004,12005,33
11004,13007,251
11004,13008,64
11004,13012,42
11004,13013,477
11004,14001,17
11004,14002,12
11004,14004,105
11004,15001,6
11004,15013,11
11004,15014,108
11004,15019,33
11004,17002,15
11004,17004,32
11004,17006,13
11004,17008,4
11004,21010,14
11004,21017,10
11004,22003,22
11004,22009,5
11004,25002,28
11004,25004,40
11004,25011,6
11004,25017,20
11004,25022,59
11004,26011,21
11004,28011,44
11004,29001,14
11004,29005,5
11004,29020,11
11004,29029,4
11004,29031,5
11004,29032,75
11005,11001,1482
11005,11002,640
11005,11003,349
11005,11004,1205
11005,11005,3017
11005,11006,2655
11005,11007,443
11005,11008,37
11005,12003,30
11005,12004,34
11005,12005,58
11005,13012,21
11005,13013,118
11005,14004,20
11005,25010,2
11005,28010,6
11005,29012,6
11006,11001,4757
11006,11002,823
11006,11003,763
11006,11004,1732
11006,11005,2245
11006,11006,12769
11006,11007,3512
11006,11008,336
11006,12003,51
11006,12004,364
11006,12005,55
11006,13003,8
11006,13007,205
11006,13010,10
11006,13013,204
11006,14001,15
11006,15002,9
11006,15010,4
11006,15014,47
11006,15015,5
11006,15018,10
11006,17003,4
11006,17006,10
11006,21007,3
11006,21009,10
11006,21014,11
11006,22009,17
11006,23026,8
11006,23028,9
11006,23032,79
11006,25008,4
11006,25016,2
11006,25017,9
11006,26017,12
11006,29003,6
11006,29007,9
11006,29023,42
11006,29031,20
11007,11001,1492
11007,11002,248
11007,11003,408
11007,11004,533
11007,11005,222
11007,11006,2511
11007,11007,8312
11007,11008,911
11007,12001,10
11007,12003,4
11007,12004,139
11007,13007,76
11007,13012,14
11007,13013,100
11007,14001,40
11007,14004,31
11007,15014,37
11007,15015,13
11007,15022,5
11007,17002,9
11007,17004,5
11007,17005,8
11007,17006,88
11007,22007,23
11007,23016,21
11007,23019,8
11007,23032,13
11007,24018,29
11007,25003,8
11007,25022,14
11007,26009,25
11007,29001,27
11007,29007,13
11007,29011,6
11007,29021,14
11007,29022,9
11007,29029,28
11008,11001,667
11008,11002,87
11008,11003,220
11008,11004,246
11008,11005,56
11008,11006,368
11008,11007,3715
11008,11008,3612
11008,12004,51
11008,13007,16
11008,13013,40
11008,14004,10
11008,15014,30
12001,11001,662
12001,12001,5674
12001,12002,182
12001,12003,60
12001,12004,3256
12001,12005,49
12001,13003,16
12001,13004,443
12001,13005,20
12001,13007,1018
12001,13008,43
12001,13011,4
12001,13012,6
12001,14001,24
12001,14004,3
12001,23005,13
12001,24007,6
12001,26011,17
12001,26019,13
12001,27011,43
12001,31001,24
12002,11001,55
12002,11003,18
12002,11004,13
12002,12001,142
12002,12002,944
12002,12003,103
12002,12004,2215
12002,12005,42
12002,13004,140
12002,13007,82
12002,13011,9
12002,13012,8
12002,14001,11
12002,15007,19
12002,15018,5
12002,21020,6
12002,24011,4
12002,26017,43
12002,26018,12
12003,11001,174
12003,11004,7
12003,11006,21
12003,11007,4
12003,12001,17
12003,12002,47
12003,12003,991
12003,12004,1208
12003,12005,126
12003,13004,10
12003,13007,53
12003,13010,7
12003,13011,19
12003,13012,67
12004,11001,2409
12004,11002,161
12004,11003,118
12004,11004,183
12004,11005,50
12004,11006,290
12004,11007,331
12004,11008,20
12004,12001,639
12004,12002,706
12004,12003,1064
12004,12004,18531
12004,12005,1538
12004,13001,5
12004,13003,12
12004,13004,61
12004,13006,25
12004,13007,560
12004,13008,53
12004,13009,16
12004,13011,487
12004,13012,142
12004,13013,51
12004,14001,35
12004,14002,16
12004,14003,15
12004,14004,67
12004,15001,14
12004,15002,36
12004,15014,20
12004,15015,11
12004,15018,3
12004,15020,64
12004,16002,9
12004,17001,22
12004,17002,20
12004,17006,45
12004,21005,4
12004,21009,45
12004,21011,11
12004,22014,8
12004,23003,5
12004,23005,10
12004,23016,230
12004,23023,30
12004,23032,48
12004,24017,13
12004,24018,78
12004,25022,40
12004,26001,18
12004,26017,46
12004,27003,9
12004,27011,16
12004,28011,20
12004,29004,10
12004,29012,25
12004,29019,9
12004,29029,4
12004,29032,20
12005,11001,287
12005,11003,19
12005,11004,47
12005,11006,30
12005,11007,20
12005,11008,10
12005,12001,112
12005,12002,28
12005,12003,32
12005,12004,2094
12005,12005,2317
12005,13011,42
12005,13012,6
12005,13013,60
12005,14004,3
12005,15007,47
12005,15014,62
12005,25003,4
12005,31002,12
13001,12001,13
13001,12004,36
13001,12005,5
13001,13001,2839
13001,13002,20
13001,13003,11
13001,13004,5
13001,13005,69
13001,13006,59
13001,13007,1983
13001,13009,38
13001,13010,25
13001,13013,33
13001,14001,10
13001,14002,6
13001,14003,172
13001,14004,9
13001,15001,24
13001,15004,7
13001,15007,23
13001,15018,44
13001,17001,11
13001,23016,22
13001,23032,20
13001,24018,43
13001,25022,112
13001,27011,21
13001,29004,37
13002,13002,334
13002,13003,38
13002,13005,658
13002,13006,21
13002,13007,289
13002,13010,6
13002,13012,13
13002,13013,7
13002,15002,9
13003,11001,21
13003,11004,13
13003,12001,19
13003,13001,30
13003,13002,39
13003,13003,5292
13003,13004,92
13003,13005,761
13003,13006,165
13003,13007,4809
13003,13008,50
13003,13009,81
13003,13010,270
13003,13012,16
13003,13013,14
13003,14001,23
13003,15001,47
13003,15002,11
13003,15007,64
13003,15008,10
13003,15012,26
13003,15019,6
13003,15020,10
13003,16001,22
13003,25022,85
13003,26017,36
13003,27010,3
13003,28011,21
13004,11001,31
13004,12001,994
13004,12002,426
13004,12004,77
13004,12005,5
13004,13001,37
13004,13002,8
13004,13003,97
13004,13004,2595
13004,13005,430
13004,13006,101
13004,13007,3222
13004,13008,39
13004,13009,77
13004,13010,51
13004,13011,11
13004,13013,24
13004,14003,6
13004,15007,20
13004,29030,46
13004,29031,16
13005,12004,53
13005,13001,25
13005,13002,140
13005,13003,315
13005,13004,161
13005,13005,2107
13005,13006,620
13005,13007,2330
13005,13008,19
13005,13009,164
13005,13010,76
13005,13013,5
13005,14001,41
13005,15002,18
13005,15007,17
13005,15017,8
13005,15020,33
13005,16003,10
13005,23016,22
13005,26017,49
13006,11001,24
13006,12005,18
13006,13001,5
13006,13002,21
13006,13003,37
13006,13004,12
13006,13005,103
13006,13006,2845
13006,13007,4383
13006,13008,109
13006,13009,33
13006,13010,30
13006,13012,28
13006,13013,50
13006,14001,144
13006,14002,7
13006,15002,12
13006,21004,11
13006,21014,11
13006,26004,16
13006,27003,31
13006,27009,5
13007,11001,1233
13007,11002,4
13007,11003,97
13007,11004,238
13007,11005,5
13007,11006,61
13007,11007,35
13007,12001,70
13007,12002,19
13007,12003,18
13007,12004,380
13007,12005,22
13007,13001,1545
13007,13002,133
13007,13003,1633
13007,13004,420
13007,13005,991
13007,13006,3351
13007,13007,65276
13007,13008,4800
13007,13009,5133
13007,13010,3442
13007,13011,43
13007,13012,458
13007,13013,1276
13007,14001,3154
13007,14002,170
13007,14003,356
13007,14004,625
13007,15001,2296
13007,15002,3267
13007,15003,18
13007,15004,7
13007,15005,10
13007,15006,9
13007,15007,1577
13007,15008,131
13007,15009,112
13007,15010,19
13007,15011,25
13007,15012,14
13007,15013,35
13007,15014,233
13007,15015,172
13007,15016,108
13007,15017,82
13007,15019,57
13007,15020,98
13007,15021,6
13007,16001,12
13007,16003,367
13007,16004,57
13007,17001,20
13007,17002,20
13007,17003,10
13007,17004,33
13007,17005,3
13007,17006,72
13007,21001,9
13007,21002,451
13007,21004,120
13007,21005,185
13007,21006,37
13007,21007,71
13007,21008,304
13007,21009,68
13007,21010,85
13007,21011,49
13007,21013,15
13007,21014,15
13007,21015,65
13007,21016,14
13007,21017,212
13007,21018,19
13007,21020,18
13007,22001,27
13007,22002,75
13007,22003,261
13007,22004,16
13007,22005,8
13007,22006,35
13007,22013,19
13007,23001,76
13007,23002,106
13007,23003,42
13007,23005,22
13007,23007,29
13007,23008,7
13007,23009,49
13007,23010,7
13007,23011,52
13007,23013,9
13007,23014,14
13007,23015,31
13007,23016,1163
13007,23017,13
13007,23018,36
13007,23022,26
13007,23023,124
13007,23025,10
13007,23026,5
13007,23032,33
13007,24001,27
13007,24005,5
13007,24006,21
13007,24007,6
13007,24008,5
13007,24011,3
13007,24014,4
13007,24016,4
13007,24017,62
13007,24018,655
13007,24019,12
13007,25001,8
13007,25002,2
13007,25006,17
13007,25008,12
13007,25009,6
13007,25010,4
13007,25011,5
13007,25022,173
13007,26003,12
13007,26004,11
13007,26005,93
13007,26008,27
13007,26009,26
13007,26013,17
13007,26015,10
13007,26016,5
13007,26017,904
13007,26018,8
13007,26019,2
13007,27009,8
13007,27011,262
13007,28011,54
13007,28013,11
13007,29004,7
13007,29016,3
13007,29018,21
13007,29020,14
13007,29021,233
13007,29026,13
13007,29028,8
13007,29030,9
13007,29031,41
13007,29032,48
13007,31001,2
13008,11001,15
13008,13001,16
13008,13003,3
13008,13006,66
13008,13007,1190
13008,13008,2581
13008,13009,211
13008,13010,120
13008,13012,6
13008,13013,22
13008,14001,39
13008,14003,5
13008,14004,29
13008,15001,18
13008,15002,25
13008,15007,90
13008,15015,18
13008,15019,10
13008,16003,47
13008,21006,26
13008,21009,12
13008,21017,7
13008,23001,21
13008,24010,3
13008,29029,37
13008,29031,22
13009,11001,26
13009,13001,15
13009,13002,8
13009,13003,10
13009,13004,13
13009,13005,75
13009,13006,67
13009,13007,5141
13009,13008,803
13009,13009,3907
13009,13010,488
13009,13013,312
13009,14001,39
13009,14004,3
13009,15001,10
13009,15007,71
13009,15014,26
13009,17002,71
13009,21005,15
13009,21018,5
13010,11001,23
13010,12004,12
13010,12005,9
13010,13001,6
13010,13003,84
13010,13005,32
13010,13006,120
13010,13007,8653
13010,13008,499
13010,13009,993
13010,13010,6130
13010,13013,163
13010,14001,182
13010,14003,62
13010,14004,3
13010,15001,1030
13010,15002,54
13010,15004,5
13010,15006,3
13010,15007,135
13010,15014,128
13010,15015,10
13010,21010,6
13010,23005,21
13010,25004,11
13010,26017,26
13010,26018,8
13010,29012,108
13010,29032,11
13011,11001,44
13011,11002,6
13011,11003,12
13011,11004,25
13011,11005,6
13011,12002,60
13011,12003,117
13011,12004,1462
13011,12005,33
13011,13003,11
13011,13004,13
13011,13007,435
13011,13008,10
13011,13011,671
13011,13012,174
13011,14001,52
13011,14004,29
13012,11001,495
13012,12004,66
