source,target,value
11001,11001,4190
11001,11002,1308
11001,11003,2330
11001,11004,2259
11001,11005,268
11001,11006,1005
11001,11007,778
11001,11008,291
11001,12001,101
11001,12002,18
11001,12003,29
11001,12004,1749
11001,12005,29
11001,13001,44
11001,13003,7
11001,13004,3
11001,13005,13
11001,13006,8
11001,13007,2040
11001,13008,38
11001,13009,55
11001,13010,63
11001,13011,59
11001,13012,216
11001,13013,769
11001,14001,620
11001,14002,22
11001,14003,30
11001,14004,23
11001,15002,211
11001,15007,336
11001,15011,13
11001,15012,36
11001,15014,58
11001,15015,53
11001,15016,35
11001,15017,54
11001,15019,53
11001,15020,20
11001,15021,32
11001,15022,15
11001,16001,26
11001,16003,62
11001,17002,68
11001,17004,9
11001,17005,26
11001,17006,56
11001,21001,16
11001,21002,194
11001,21003,9
11001,21005,117
11001,21006,12
11001,21007,16
11001,21008,112
11001,21009,120
11001,21010,225
11001,21011,22
11001,21012,84
11001,21014,15
11001,21015,12
11001,21017,42
11001,21019,4
11001,21020,21
11001,22001,19
11001,22003,169
11001,22005,10
11001,22006,5
11001,22009,17
11001,22013,9
11001,23001,39
11001,23002,65
11001,23003,35
11001,23005,41
11001,23009,8
11001,23014,17
11001,23015,44
11001,23016,890
11001,23018,52
11001,23019,45
11001,23020,6
11001,23021,10
11001,23023,72
11001,23025,18
11001,23027,10
11001,23029,18
11001,23032,72
11001,24006,7
11001,24011,64
11001,24017,92
11001,24018,319
11001,25001,32
11001,25002,36
11001,25004,17
11001,25010,6
11001,25012,29
11001,25013,12
11001,25017,67
11001,25022,334
11001,25023,14
11001,26001,10
11001,26002,4
11001,26003,3
11001,26004,5
11001,26012,9
11001,26013,23
11001,26017,236
11001,26019,34
11001,27008,8
11001,27011,53
11001,28011,11
11001,28012,7
11001,29001,26
11001,29005,45
11001,29008,9
11001,29021,103
11001,29026,20
11001,29031,37
11001,29032,4
11001,31001,21
11002,11001,2151
11002,11002,677
11002,11003,239
11002,11004,525
11002,11005,265
11002,11006,408
11002,11007,181
11002,11008,136
11002,12003,13
11002,12004,43
11002,12005,4
11002,13007,76
11002,13008,5
11002,13009,16
11002,13012,17
11002,13013,48
11002,15002,11
11002,15007,83
11002,15022,7
11002,17008,15
11002,21002,15
11002,21011,17
11002,23002,21
11002,23016,54
11002,23018,10
11002,24018,21
11002,25017,53
11002,26017,109
11002,29031,32
11002,29032,10
11003,11001,4842
11003,11002,89
11003,11003,4211
11003,11004,2479
11003,11005,190
11003,11006,381
11003,11007,288
11003,11008,119
11003,12001,31
11003,12004,252
11003,12005,40
11003,13004,8
11003,13005,23
11003,13007,140
11003,13008,5
11003,13010,2
11003,13013,336
11003,14001,50
11003,14004,44
11003,15005,46
11003,15007,7
11003,15014,19
11003,17004,8
11003,17006,72
11003,21002,13
11003,21008,10
11003,22001,13
11003,22005,18
11003,23016,12
11003,23028,38
11003,23032,38
11003,24005,69
11003,24011,10
11003,24015,12
11003,25001,14
11003,26017,8
11003,28011,13
11003,29031,112
11003,29032,64
11003,31002,24
11004,11001,9352
11004,11002,1580
11004,11003,7295
11004,11004,14558
11004,11005,2905
11004,11006,2353
11004,11007,847
11004,11008,97
11004,12004,183
11004,12005,31
11004,13003,7
11004,13007,186
11004,13008,5
11004,13013,998
11004,14001,60
11004,14002,9
11004,14003,7
11004,14004,80
11004,15011,39
11004,15015,35
11004,15017,10
11004,15018,4
11004,15020,35
11004,16002,4
11004,16003,5
11004,17002,36
11004,17004,22
11004,17006,79
11004,21002,28
11004,21009,4
11004,21017,41
11004,22009,18
11004,22015,2
11004,23016,9
11004,23018,45
11004,23023,30
11004,25022,68
11004,26008,33
11004,28001,31
11004,28002,6
11004,28011,19
11004,29003,8
11004,29009,48
