id,rate,output_data_fixa,input_data_fixa,rate_ue,output_ue,input_ue
3131802,80,390,470,-198,724,526
3131901,816,1809,2625,1123,2222,3345
3132008,-243,422,179,-334,507,173
3132107,-151,699,548,-424,1090,666
3132206,-72,730,658,-168,931,763
3132305,-216,698,482,-236,792,556
3132404,447,3183,3630,700,3618,4318
3132503,-242,1351,1109,-494,1916,1422
3132602,-137,353,216,-187,415,228
3132701,-1185,1948,763,-1593,2498,905
3132800,-97,124,27,-170,225,55
3132909,-28,330,302,-91,412,321
3133006,33,498,531,-79,639,560
3133105,446,365,811,403,421,824
3133204,-528,1068,540,-724,1314,590
3133303,-602,1248,646,-510,1459,949
3133402,372,417,789,461,505,966
3133501,-473,1238,765,-439,1542,1103
3133600,38,334,372,41,342,383
3133709,655,446,1101,590,556,1146
3133758,308,440,748,324,486,810
3133808,1190,2198,3388,1182,2661,3843
3133907,-425,599,174,-441,649,208
3134004,-373,680,307,-603,942,339
3134103,97,231,328,164,258,422
3134202,-960,4632,3672,-125,4872,4747
3134301,-45,202,157,-86,259,173
3134400,-422,1700,1278,-296,1885,1589
3134509,-282,399,117,-276,465,189
3134608,970,840,1810,1129,985,2114
3134707,-420,882,462,-500,1039,539
3134806,-251,715,464,-235,742,507
3134905,276,284,560,210,443,653
3135001,222,162,384,218,238,456
3135050,620,1983,2603,923,2033,2956
3135076,-119,303,184,-134,409,275
3135100,-1973,4355,2382,-2241,5339,3098
3135209,-2457,3630,1173,-2832,4461,1629
3135308,330,106,436,382,114,496
3135357,-237,480,243,-219,491,272
3135407,-289,421,132,-442,605,163
3135456,196,141,337,158,205,363
3135506,-306,670,364,-436,896,460
3135605,-163,625,462,-81,585,504
3135704,11,506,517,30,556,586
3135803,-1129,2115,986,-1472,2799,1327
3135902,22,145,167,22,175,197
3136009,-798,1368,570,-1076,1695,619
3136108,-184,463,279,-207,490,283
3136207,244,3763,4007,-531,5078,4547
3136306,-599,2272,1673,-715,2790,2075
3136405,-119,401,282,-353,655,302
3136504,-419,672,253,-311,659,348
3136520,-105,270,165,-44,215,171
3136553,467,88,555,413,110,523
3136579,-68,153,85,-124,222,98
3136652,279,265,544,224,408,632
3136702,2650,1038,3688,3176,993,4169
3136801,4596,11176,15772,5782,12429,18211
3136900,68,186,254,54,249,303
3136959,176,293,469,187,327,514
3137007,-27,122,95,-2,166,164
3137106,-112,648,536,-263,840,577
3137205,-235,765,530,-365,924,559
3137304,1084,1055,2139,784,1622,2406
3137403,-368,492,124,-365,506,141
3137502,-14,385,371,5,394,399
3137536,-90,1115,1025,-132,1363,1231
3137601,271,502,773,352,488,840
3137700,4943,1670,6613,5608,1975,7583
3137809,-179,1082,903,-193,1218,1025
3137908,-185,675,490,-158,849,691
3138005,-255,400,145,-275,475,200
3138104,-171,392,221,-141,396,255
3138203,42,500,542,114,487,601
3138302,1414,3625,5039,1202,4334,5536
3138351,54,191,245,67,231,298
3138401,-113,312,199,-49,255,206
3138500,-740,1780,1040,-809,2163,1354
3138609,-6,124,118,13,145,158
3138625,284,663,947,78,1024,1102
3138658,91,340,431,146,311,457
3138674,-17,428,411,-14,451,437
3138682,113,264,377,24,411,435
3138708,-90,351,261,-41,387,346
3138807,85,285,370,4,378,382
3138906,-68,1026,958,-29,1161,1132
3139003,-149,565,416,-167,623,456
3139102,-438,1707,1269,-331,1999,1668
3139201,63,154,217,33,207,240
3139250,-1382,1767,385,-1402,1973,571
3139300,21,135,156,-12,163,151
3139409,-1051,1394,343,-969,1474,505
3139508,-847,4361,3514,-974,5547,4573
3139607,-128,1241,1113,-442,1717,1275
3139805,-535,1208,673,-790,1727,937
3139706,35,495,530,24,531,555
3139904,301,287,588,279,402,681
3140001,-570,827,257,-658,985,327
3140100,511,2867,3378,1026,3147,4173
3140159,35,179,214,-33,265,232
3140209,1650,695,2345,1864,548,2412
3140308,70,50,120,77,58,135
3140407,99,345,444,61,400,461
3140506,-63,120,57,-80,137,57
3140530,-153,965,812,-98,1221,1123
3140555,205,432,637,249,457,706
3140605,30,123,153,-3,181,178
3140704,-146,311,165,-123,306,183
3171501,1898,1492,3390,1944,1582,3526
3140803,94,505,599,340,529,869
3140852,-209,783,574,-366,981,615
3140902,-360,1185,825,-259,1325,1066
3141009,-329,642,313,-365,699,334
3141108,1044,1482,2526,979,1743,2722
3141207,-118,315,197,-171,366,195
3141306,133,91,224,136,95,231
3141405,-841,1364,523,-957,1646,689
3141504,-139,441,302,-219,564,345
3141603,-117,450,333,-246,612,366
3141702,-160,361,201,-111,350,239
3141801,-1071,1643,572,-1074,1719,645
3141900,-21,257,236,-3,259,256
3142007,-493,797,304,-466,948,482
3142106,-214,738,524,-100,751,651
3142205,-340,748,408,-347,877,530
3142254,43,99,142,-66,204,138
3142304,38,415,453,149,345,494
3142403,-123,506,383,-69,494,425
3142502,-155,276,121,-192,318,126
3142601,268,250,518,275,284,559
3142700,-439,567,128,-497,688,191
3142809,643,717,1360,439,1010,1449
3142908,-410,838,428,-528,1027,499
3143005,-294,591,297,-292,691,399
3143104,-699,2479,1780,-598,2850,2252
3143153,-155,324,169,16,246,262
3143203,-309,712,403,-292,682,390
3143401,3749,13768,17517,3873,16254,20127
3143302,131,478,609,155,512,667
3143450,48,113,161,64,114,178
3143500,-29,584,555,-126,746,620
3143609,-24,160,136,-80,242,162
3143708,-143,274,131,-154,313,159
3143807,-94,192,98,-129,224,95
3143906,662,2684,3346,595,3108,3703
3144003,-616,1315,699,-734,1599,865
3144102,294,607,901,302,752,1054
3144201,-66,184,118,-7,260,253
3144300,-634,1744,1110,-471,1910,1439
3144359,75,559,634,137,520,657
3144375,-8,276,268,94,236,330
3144409,88,170,258,64,202,266
3144508,-430,699,269,-233,571,338
3144607,-487,1251,764,-549,1466,917
3144656,15,67,82,10,80,90
3144672,-116,189,73,-68,196,128
3144706,-1054,1671,617,-845,1618,773
3144805,4022,2597,6619,4196,3028,7224
3144904,-83,258,175,13,191,204
3145000,713,572,1285,412,951,1363
3145059,628,198,826,623,256,879
3145109,135,270,405,69,409,478
3145208,7377,3270,10647,8375,3459,11834
3136603,-505,1099,594,-638,1361,723
