lot,lat,output,iata,city,
-40.761391,-16.638611,512,3125606,Felisburgo,
-44.898891,-18.758055,855,3125705,Felixlândia,
-42.081944,-19.15361,271,3125804,Fernandes Tourinho,
-43.023335,-19.231945,1081,3125903,Ferros,
-42.278889,-20.725555,592,3125952,Fervedouro,
-44.432503,-19.889444,275,3126000,Florestal,
-45.426392,-20.464445,1825,3126109,Formiga,
-46.231945,-14.946667,253,3126208,Formoso,
-46.718056,-20.849167,260,3126307,Fortaleza de Minas,
-44.446945,-19.56111,157,3126406,Fortuna de Minas,
-42.351944,-16.9925,271,3126505,Francisco Badaró,
-44.234165,-17.314999,310,3126604,Francisco Dumont,
-43.488335,-16.475834,1536,3126703,Francisco Sá,
-42.00861,-17.959723,171,3126752,Franciscópolis,
-41.429447,-18.066111,353,3126802,Frei Gaspar,
-41.90889,-18.574446,558,3126901,Frei Inocêncio,
-42.766109,-18.167778,128,3126950,Frei Lagonegro,
-49.199444,-20.267778,269,3127008,Fronteira,
-40.924725,-16.891388,194,3127057,Fronteira dos Vales,
-42.533054,-16.131111,163,3127073,Fruta de Leite,
-48.940556,-20.024721,1462,3127107,Frutal,
-44.05611,-19.3675,308,3127206,Funilândia,
-41.537498,-18.999445,662,3127305,Galiléia,
-43.123608,-15.082222,226,3127339,Gameleiras,
-43.697224,-16.849722,199,3127354,Glaucilândia,
-41.2225,-18.982224,203,3127370,Goiabeira,
-43.201668,-21.537222,389,3127388,Goianá,
-45.855831,-22.658888,112,3127404,Gonçalves,
-42.479168,-18.822224,542,3127503,Gonzaga,
-43.740833,-18.454445,1360,3127602,Gouveia,
-41.949444,-18.851112,12332,3127701,Governador Valadares,
-42.889725,-16.559444,973,3127800,Grão Mogol,
-47.722221,-18.494167,108,3127909,Grupiara,
-42.932503,-18.775,1955,3128006,Guanhães,
-45.9175,-20.761667,760,3128105,Guapé,
-43.0075,-20.570835,548,3128204,Guaraciaba,
-43.673058,-17.013889,141,3128253,Guaraciama,
-46.802498,-21.299166,612,3128303,Guaranésia,
-43.046944,-21.352222,494,3128402,Guarani,
-43.037498,-21.731945,114,3128501,Guarará,
-47.098331,-17.770834,302,3128600,Guarda-Mor,
-46.71278,-21.305277,1338,3128709,Guaxupé,
-42.796665,-21.151943,402,3128808,Guidoval,
-46.793056,-18.843889,679,3128907,Guimarânia,
-42.717777,-21.007778,502,3129004,Guiricema,
-49.786388,-19.213335,711,3129103,Gurinhatã,
-45.542221,-22.067223,360,3129202,Heliodora,
-42.217777,-19.436666,617,3129301,Iapu,
-43.963055,-21.43,322,3129400,Ibertioga,
-46.538887,-19.478334,1224,3129509,Ibiá,
-44.914448,-16.861111,590,3129608,Ibiaí,
-44.163891,-15.66361,208,3129657,Ibiracatu,
-47.122219,-20.462223,220,3129707,Ibiraci,
-44.058887,-20.021944,5431,3129806,Ibirité,
-46.440002,-22.060833,273,3129905,Ibitiúra de Minas,
-44.74778,-21.1525,168,3130002,Ibituruna,
-44.906391,-16.217222,237,3130051,Icaraí de Minas,
